StrengthHub Online | Master Exercise Database																																			
110 exercises with screen ready copy, Min RIR floors and ID backed substitutions. The workbook is the full workout backend: read order is Screening Outcomes, Split Selector or Custom Split Rules, Schedule Rules + External Commitments, Session Templates, Exercise Database, Prescription Logic, Safety Rules, Substitutions.																																			
ID	Exercise	Muscle Group	Primary Muscles	Movement Pattern	Substitution Group	Type	Equipment Tier	Equipment	Skill Level	Unilateral	Loadable	Prescription Class	Primary Goal Fit	Why It Is In The Database	What It Does	Step 1	Step 2	Step 3	Common Mistake	Substitutions (Best First)	Substitution Count	Min RIR	Safety Note	Substitution IDs (Best First)	Failure Allowed	Spotter Recommended	Required Equipment Tags	Optional Equipment Tags	Impact Level	Supported	Active	video_url	Measurement Type	Load Unit	Stress Regions
CH11	Incline Push Up	Chest	Pectoralis major, triceps, anterior delt	Horizontal Push	Chest | Press	Compound	Bodyweight	Bench, desk or wall	Beginner	No	No	Rep	General Fitness	Gives the bodyweight tier a second horizontal press so the push up is not a single point of failure. Hand height sets the difficulty, so it regresses to a wall for a true beginner.	An easier push up angle that lets beginners build pressing strength with clean form.	Put your hands on a bench, desk or wall and step your feet back	Lower your chest to the surface with your body in one line	Press back up without letting your hips drop	Picking a surface so high that the chest barely works.	Push Up, Machine Chest Press, Dumbbell Bench Press, Feet Elevated Push Up, Dumbbell Chest Fly	5	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Push Up.	CH04, CH05, CH02, CH12, CH07	Yes	No	bench/desk/wall		Low	No	Yes		reps	bodyweight	shoulder, elbow, wrist, chest
CH12	Feet Elevated Push Up	Chest	Upper pectoralis, anterior delt, triceps	Horizontal Push	Chest | Press	Compound	Bodyweight	Bench, chair or bed	Intermediate	No	No	Rep	Hypertrophy	The progression a bodyweight user hits once standard push ups get easy. Shifts load toward the upper chest and keeps the pattern challenging without any weight to add.	A harder push up that shifts more bodyweight onto the chest and shoulders.	Put your feet on a bench or chair and set your hands under your shoulders	Lower your chest toward the floor with the body in one straight line	Press back up and keep your hips from sagging	Letting the hips pike up to make the rep easier.	Push Up, Incline Push Up, Dip (Chest Lean), Dumbbell Bench Press, Machine Chest Press	5	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Push Up.	CH04, CH11, CH08, CH02, CH05	Yes	No	bench/chair/bed		Low	No	Yes		reps	bodyweight	shoulder, elbow, wrist, chest
BK01	Conventional Deadlift	Back	Erectors, lats, glutes, hamstrings	Hinge	Back | Hinge	Compound	Full Gym	Barbell, plates	Advanced	No	Yes	Load	Strength	The highest absolute load a person can move, and the best single test of posterior chain strength. Gated behind a technique check because the risk is real.	The full body pull that loads the back, glutes and hamstrings heavier than anything else. Advanced users only.	Stand with the bar over your mid foot and grip just outside your shins	Set your back flat, chest up, then push the floor away	Stand tall, then lower the bar by pushing your hips back	Rounding the lower back and yanking the bar off the floor.	Trap Bar Deadlift, Rack Pull, Dumbbell Deadlift, Romanian Deadlift, Cable Pull Through, Hip Thrust, Back Extension, Single Leg Romanian Deadlift, Prone Superman	9	2	Advanced only. Never taken to failure. Beginner and intermediate users are served Trap Bar Deadlift instead.	BK12, BK10, BK13, HG01, HG08, HG02, HG09, HG07, HG12	No	No	barbell,plates		Low	No	Yes		weight_reps	kg	lower_back, hip, hamstring
BK02	Barbell Bent Over Row	Back	Lats, rhomboids, mid traps, rear delt	Horizontal Pull	Back | Horizontal Pull	Compound	Full Gym	Barbell	Intermediate	No	Yes	Load	Strength	Heavy bilateral horizontal pull that builds mid back thickness while also training the hinge isometrically. Balances the bench press in any push and pull split.	A heavy horizontal pull that builds thickness through the mid back.	Hinge forward until your torso is around 45 degrees, back flat	Pull the bar to your lower ribs and squeeze your shoulder blades	Lower under control until your arms are straight	Standing up on every rep and turning it into a shrug.	Chest Supported Dumbbell Row, Dumbbell Single Arm Row, Seated Cable Row, Inverted Row, Band Bent Over Row, Lat Pulldown	6	1	Free weight compound. Always stop at least one rep short of failure. Swap to Chest Supported Dumbbell Row if form breaks down.	BK08, BK03, BK06, BK07, BK14, BK05	No	No	barbell		Low	No	Yes		weight_reps	kg	shoulder, elbow, upper_back, lower_back
BK03	Dumbbell Single Arm Row	Back	Lats, rhomboids, mid traps	Horizontal Pull	Back | Horizontal Pull	Compound	Basic Gym	Dumbbell, bench	Beginner	Yes	Yes	Load	Hypertrophy	Chest supported by the free hand, so the lower back is spared. Unilateral loading exposes and fixes side to side imbalances early.	A one arm row that lets you pull heavy with the chest supported and no lower back strain.	Brace one hand and knee on a bench with a flat back	Pull the dumbbell to your hip, leading with the elbow	Lower it all the way down until you feel the lat stretch	Twisting the torso to heave the weight up.	Chest Supported Dumbbell Row, Seated Cable Row, Barbell Bent Over Row, Inverted Row, Band Bent Over Row	5	1	Free weight compound. Always stop at least one rep short of failure. Swap to Chest Supported Dumbbell Row if form breaks down.	BK08, BK06, BK02, BK07, BK14	No	No	dumbbell,bench		Low	Yes	Yes		weight_reps	kg	shoulder, elbow, upper_back
BK04	Chin Up	Back	Lats, biceps, teres major	Vertical Pull	Back | Vertical Pull	Compound	Bodyweight	Pull up bar	Advanced	No	Yes	Load	Strength	The clearest strength milestone most students care about. Trains lats and biceps together and needs only a bar.	The benchmark vertical pull for lat width and relative strength. Advanced users only.	Hang from the bar with palms facing you, hands shoulder width	Pull your chest toward the bar and drive your elbows down	Lower all the way to straight arms under control	Kipping with the legs instead of pulling with the back.	Lat Pulldown, Band Assisted Chin Up, Band Lat Pulldown, Inverted Row, Seated Cable Row, Chest Supported Dumbbell Row	6	2	Advanced only. Never taken to failure. Beginner and intermediate users are served Lat Pulldown instead.	BK05, BK15, BK11, BK07, BK06, BK08	No	No	pull_up_bar		Low	No	Yes		weight_reps	kg	shoulder, elbow
BK05	Lat Pulldown	Back	Lats, teres major, biceps	Vertical Pull	Back | Vertical Pull	Compound	Basic Gym	Cable pulldown machine	Beginner	No	Yes	Load	Hypertrophy	The scalable stand in for the chin up. Lets a user who cannot yet do one pull up train the identical pattern with sub bodyweight load.	A machine vertical pull that builds lat width at any strength level.	Set the thigh pad snug and grip the bar wider than your shoulders	Pull the bar to your upper chest and drive your elbows down	Let it rise slowly until your arms are straight	Leaning back hard and rowing instead of pulling down.	Chin Up, Band Assisted Chin Up, Band Lat Pulldown, Straight Arm Pulldown, Seated Cable Row, Chest Supported Dumbbell Row	6	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Chin Up.	BK04, BK15, BK11, BK09, BK06, BK08	Yes	No	machine_lat_pulldown		Low	Yes	Yes		weight_reps	kg	shoulder, elbow
BK06	Seated Cable Row	Back	Lats, rhomboids, mid traps	Horizontal Pull	Back | Horizontal Pull	Compound	Basic Gym	Cable row machine	Beginner	No	Yes	Load	Hypertrophy	Constant tension horizontal pull with a supported spine. Safe to push near failure, which is where most back growth actually comes from.	A seated cable row that builds the mid back with constant tension and a safe torso position.	Sit tall with a slight knee bend and grip the handle	Pull the handle to your stomach, elbows close to your sides	Let your arms straighten fully without slumping forward	Rocking the torso back and forth to move the stack.	Chest Supported Dumbbell Row, Dumbbell Single Arm Row, Barbell Bent Over Row, Inverted Row, Band Bent Over Row	5	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Chest Supported Dumbbell Row.	BK08, BK03, BK02, BK07, BK14	Yes	No	machine_cable_row		Low	Yes	Yes		weight_reps	kg	shoulder, elbow, upper_back
BK07	Inverted Row	Back	Lats, rhomboids, rear delt	Horizontal Pull	Back | Horizontal Pull	Compound	Bodyweight	Bar, rings or table edge	Beginner	No	No	Rep	General Fitness	The bodyweight horizontal pull. Difficulty is adjusted purely by foot position, which makes it the pulling counterpart to the push up.	A bodyweight row that trains the whole back with nothing but a bar or a table edge.	Lie under a bar and grip it slightly wider than your shoulders	Pull your chest to the bar with your body in one straight line	Lower until your arms are straight	Letting the hips drop so the body sags instead of staying rigid.	Band Bent Over Row, Chest Supported Dumbbell Row, Dumbbell Single Arm Row, Seated Cable Row, Supinated Inverted Row	5	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Band Bent Over Row.	BK14, BK08, BK03, BK06, BI07	Yes	No	low_bar/rings/sturdy_table		Low	No	Yes		reps	bodyweight	shoulder, elbow, upper_back
BK08	Chest Supported Dumbbell Row	Back	Rhomboids, mid traps, rear delt	Horizontal Pull	Back | Horizontal Pull	Compound	Basic Gym	Dumbbells, incline bench	Beginner	No	Yes	Load	Hypertrophy	Removes all momentum and lower back involvement, so the upper back does the work. Excellent for desk bound students with poor postural endurance.	A supported dumbbell row that removes the lower back entirely and isolates the mid back.	Lie chest down on an incline bench with a dumbbell in each hand	Row both dumbbells toward your hips, squeezing the shoulder blades	Lower until the arms hang straight	Lifting the chest off the bench to help the weight up.	Dumbbell Single Arm Row, Seated Cable Row, Inverted Row, Band Bent Over Row, Barbell Bent Over Row	5	1	Free weight compound. Always stop at least one rep short of failure. Swap to Dumbbell Single Arm Row if form breaks down.	BK03, BK06, BK07, BK14, BK02	No	No	dumbbell,incline_bench		Low	Yes	Yes		weight_reps	kg	shoulder, elbow, upper_back
BK09	Straight Arm Pulldown	Back	Lats	Vertical Pull	Back | Vertical Pull	Isolation	Full Gym	Cable machine	Intermediate	No	Yes	Load	Hypertrophy	Isolates the lats without the biceps limiting the set. Useful when arm fatigue is capping back volume.	A straight arm pulldown that isolates the lats without the biceps taking over.	Stand a step back from a high pulley and hinge slightly forward	With soft elbows, sweep the bar down to your thighs	Let it rise back to head height and feel the lat stretch	Bending the elbows and turning it into a triceps pushdown.	Band Lat Pulldown, Lat Pulldown, Chest Supported Dumbbell Row, Seated Cable Row	4	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Band Lat Pulldown.	BK11, BK05, BK08, BK06	Yes	No	cable_machine		Low	No	Yes		weight_reps	kg	shoulder, elbow
BK10	Rack Pull	Back	Erectors, traps, glutes	Hinge	Back | Hinge	Compound	Full Gym	Barbell, rack	Intermediate	No	Yes	Load	Strength	Shortened range deadlift for users who lack the hip mobility or confidence to pull from the floor. Keeps heavy hinge loading available.	A shortened deadlift from the rack that overloads the upper back and lockout.	Set the bar just below your knees and grip it outside your shins	Set your back flat, chest tall, then stand up by driving your hips forward	Lower the bar back to the pins under control	Hyperextending the lower back at the top of the lift.	Trap Bar Deadlift, Conventional Deadlift, Romanian Deadlift, Dumbbell Deadlift, Back Extension, Cable Pull Through	6	1	Free weight compound. Always stop at least one rep short of failure. Swap to Trap Bar Deadlift if form breaks down.	BK12, BK01, HG01, BK13, HG09, HG08	No	No	barbell,rack		Low	No	Yes		weight_reps	kg	lower_back, hip, hamstring
BK11	Band Lat Pulldown	Back	Lats, teres major, biceps	Vertical Pull	Back | Vertical Pull	Compound	Bodyweight	Resistance band, anchor	Beginner	No	Yes	Load	General Fitness	The only sub bodyweight vertical pull that needs no machine. Without it, a home user who cannot yet do a chin up has no way to train the vertical pull at all.	A banded pulldown that trains the lats when you have no bar, machine or gym.	Anchor a band overhead and kneel or stand facing it	Pull your hands down toward your chest, elbows driving to your sides	Let the band rise back up slowly	Using a band so light the back never actually works.	Lat Pulldown, Band Assisted Chin Up, Straight Arm Pulldown, Inverted Row, Band Bent Over Row	5	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Lat Pulldown.	BK05, BK15, BK09, BK07, BK14	Yes	No	band,anchor_point		Low	No	Yes		weight_reps	kg	shoulder, elbow
SH01	Barbell Overhead Press	Shoulders	Anterior delt, lateral delt, triceps	Vertical Push	Shoulders | Vertical Push	Compound	Full Gym	Barbell	Intermediate	No	Yes	Load	Strength	The primary vertical press and the main progressable shoulder strength lift. Also trains bracing under load from a standing position.	A standing barbell press that builds overhead strength and a braced, stable trunk.	Take the bar at collarbone height, hands just outside your shoulders	Squeeze your glutes and press the bar overhead, moving your head back slightly	Finish with the bar over the middle of your feet, then lower to your chest	Leaning back through the lower spine instead of bracing the core.	Seated Dumbbell Shoulder Press, Arnold Press, Band Overhead Press, Pike Push Up, Dumbbell Lateral Raise	5	1	Free weight compound. Always stop at least one rep short of failure. Swap to Seated Dumbbell Shoulder Press if form breaks down.	SH02, SH07, SH11, SH08, SH03	No	No	barbell		Low	No	Yes		weight_reps	kg	shoulder, elbow, wrist, lower_back
SH02	Seated Dumbbell Shoulder Press	Shoulders	Anterior delt, lateral delt, triceps	Vertical Push	Shoulders | Vertical Push	Compound	Basic Gym	Dumbbells, bench	Beginner	No	Yes	Load	Hypertrophy	Friendlier shoulder path than a barbell and no rack needed. The default overhead press for most user profiles.	A seated overhead press that builds round, strong shoulders.	Start with the dumbbells at ear height	Press up without shrugging	Stop just short of locking out, then lower slowly	Leaning back and turning it into an incline press.	Arnold Press, Barbell Overhead Press, Band Overhead Press, Pike Push Up, Dumbbell Lateral Raise	5	1	Free weight compound. Always stop at least one rep short of failure. Swap to Arnold Press if form breaks down.	SH07, SH01, SH11, SH08, SH03	No	No	dumbbell,bench		Low	Yes	Yes		weight_reps	kg	shoulder, elbow, wrist
SH03	Dumbbell Lateral Raise	Shoulders	Lateral delt	Isolation	Shoulders | Lateral Delt	Isolation	Basic Gym	Dumbbells	Beginner	No	Yes	Load	Hypertrophy	The only exercise that truly targets the lateral delt, which no press hits well. Drives the shoulder width most aesthetic goals ask for.	A raise that isolates the side delt and builds shoulder width.	Stand with dumbbells at your sides and a soft elbow bend	Lift out to the sides until your hands reach shoulder height	Lower slowly and stop the swing before the next rep	Going too heavy and swinging the weight up with the traps.	Cable Lateral Raise, Band Lateral Raise, Seated Dumbbell Shoulder Press, Band Overhead Press	4	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Cable Lateral Raise.	SH04, SH09, SH02, SH11	Yes	No	dumbbell		Low	No	Yes		weight_reps	kg	shoulder
SH04	Cable Lateral Raise	Shoulders	Lateral delt	Isolation	Shoulders | Lateral Delt	Isolation	Full Gym	Cable machine	Intermediate	Yes	Yes	Load	Hypertrophy	Loads the bottom of the range where dumbbells are nearly weightless. A better stimulus per set once a user has a base.	A cable side raise that keeps the side delt loaded even at the bottom of the rep.	Set the pulley low and grip the handle with the far hand	Raise your arm out to the side up to shoulder height	Lower slowly and fight the cable on the way down	Letting the arm drift forward so the front delt takes over.	Dumbbell Lateral Raise, Band Lateral Raise, Arnold Press, Pike Push Up	4	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Dumbbell Lateral Raise.	SH03, SH09, SH07, SH08	Yes	No	cable_machine		Low	No	Yes		weight_reps	kg	shoulder
SH05	Rear Delt Fly	Shoulders	Rear delt, rhomboids	Horizontal Pull	Shoulders | Rear Delt	Isolation	Basic Gym	Dumbbells or cables	Beginner	No	Yes	Load	General Fitness	Directly opposes all the pressing volume in the program. Keeps the shoulder joint balanced and reduces impingement risk over a long block.	A rear delt fly that balances out all the pressing you do and helps your posture.	Hinge forward with a flat back, arms hanging straight down	Open your arms out wide with soft elbows	Lower slowly and stay hinged the whole set	Using heavy weight and turning the fly into a row.	Band Pull Apart, Face Pull, Prone Y-T-W Raise	3	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Band Pull Apart.	SH12, SH06, SH10	Yes	No	dumbbell/cable_machine		Low	No	Yes		weight_reps	kg	shoulder, elbow, upper_back
SH06	Face Pull	Shoulders	Rear delt, external rotators, mid traps	Horizontal Pull	Shoulders | Rear Delt	Isolation	Full Gym	Cable machine, rope	Beginner	No	Yes	Load	General Fitness	Trains external rotation and scapular retraction together. The single best insurance policy against shoulder pain in a high volume push program.	A cable pull that hits the rear delts and upper back and helps undo desk posture.	Set a rope at head height and take a step back	Pull the rope to your forehead, splitting your hands apart	Let it return forward slowly	Setting the pulley too low so it turns into a face height row.	Rear Delt Fly, Band Pull Apart, Prone Y-T-W Raise	3	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Rear Delt Fly.	SH05, SH12, SH10	Yes	No	cable_machine,rope_attachment		Low	No	Yes		weight_reps	kg	shoulder, elbow, upper_back
SH07	Arnold Press	Shoulders	Anterior delt, lateral delt	Vertical Push	Shoulders | Vertical Push	Compound	Basic Gym	Dumbbells	Intermediate	No	Yes	Load	Hypertrophy	Adds rotation so the anterior and lateral heads both take load through a longer range. A pressing variation for users who need novelty to stay engaged.	A rotating dumbbell press that hits the front and side delts in one movement.	Start with the dumbbells at chest height, palms facing you	Rotate your palms out as you press overhead	Reverse the rotation on the way back down	Rushing the rotation instead of turning smoothly through the press.	Seated Dumbbell Shoulder Press, Barbell Overhead Press, Band Overhead Press, Pike Push Up, Dumbbell Lateral Raise	5	1	Free weight compound. Always stop at least one rep short of failure. Swap to Seated Dumbbell Shoulder Press if form breaks down.	SH02, SH01, SH11, SH08, SH03	No	No	dumbbell		Low	No	Yes		weight_reps	kg	shoulder, elbow, wrist
SH08	Pike Push Up	Shoulders	Anterior delt, triceps	Vertical Push	Shoulders | Vertical Push	Compound	Bodyweight	None	Intermediate	No	No	Rep	General Fitness	The bodyweight vertical press. Keeps overhead pushing in the program when a user has no equipment at all.	An overhead push up that builds shoulder strength with no weights.	Start in a push up, then walk your feet in so your hips point at the ceiling	Lower the top of your head toward the floor between your hands	Press back up until your arms are straight	Letting the hips drop so it becomes a normal push up.	Band Overhead Press, Seated Dumbbell Shoulder Press, Arnold Press, Barbell Overhead Press, Band Lateral Raise	5	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Band Overhead Press.	SH11, SH02, SH07, SH01, SH09	Yes	No	none		Low	No	Yes		reps	bodyweight	shoulder, elbow, wrist
SH09	Band Lateral Raise	Shoulders	Lateral delt	Isolation	Shoulders | Lateral Delt	Isolation	Bodyweight	Resistance band	Beginner	Yes	Yes	Load	General Fitness	Closes the gap where a bodyweight beginner had no shoulder option at all, since the pike push up is intermediate. Bands load the lateral delt where bodyweight cannot.	A banded side raise that trains shoulder width anywhere.	Stand on the band and hold the ends at your sides	Raise your arms out to shoulder height against the band	Lower slowly and keep tension the whole set	Shrugging the shoulders up as the band gets tight.	Dumbbell Lateral Raise, Cable Lateral Raise, Band Pull Apart, Pike Push Up	4	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Dumbbell Lateral Raise.	SH03, SH04, SH12, SH08	Yes	No	band		Low	No	Yes		weight_reps	kg	shoulder
